Vagococcus_lutrae	V. lutrae
Brevundimonas_subvibrioides	B. subvibrioides
Planomicrobium_sp_MB_3u_38	Pla. sp. MB-3u-38
Acinetobacter_nosocomialis	A. nosocomialis
Cedecea_neteri	C. neteri
Prevotella_melaninogenica	P. melaninogenica
Comamonas_thiooxydans	C. thiooxydans
Corynebacterium_tuberculostearicum	Cor. tuberculostearicum
Aggregatibacter_actinomycetemcomitans	A. actinomycetemcomitans
Cutibacterium_granulosum	Cut. granulosum
Lactobacillus_paragasseri	L. paragasseri
Prevotella_micans	P. micans
Comamonas_testosteroni	C. testosteroni
Chryseobacterium_indologenes	Chr. indologenes
Pararheinheimera_mesophila	P. mesophila
Bacteroides_plebeius	B. plebeius
Rhodococcus_fascians	R. fascians
Paracoccus_alkenifer	P. alkenifer
Mycoplasma_hominis	M. hominis
Lactobacillus_animalis	L. animalis
Dorea_sp_D27	Dor. sp. D27
Micropruina_glycogenica	M. glycogenica
Clostridium_celerecrescens	C. celerecrescens
Bacillus_kochii	B. kochii
Mycolicibacterium_mucogenicum	Myc. mucogenicum
Ruminococcus_callidus	R. callidus
Sediminibacterium_sp_FEMGT703S	Sed. sp. FEMGT703S
Lachnoclostridium_sp_An118	Lac. sp. An118
Methylibium_petroleiphilum	M. petroleiphilum
Parvimonas_sp_oral_taxon_110	Par. sp. oral-taxon-110
Acinetobacter_venetianus	A. venetianus
Mycolicibacterium_senegalense	Myc. senegalense
Pasteurella_bettyae	P. bettyae
Enterobacter_bugandensis	E. bugandensis
Eubacterium_rectale	Eub. rectale
Cloacibacterium_normanense	Clo. normanense
Janthinobacterium_sp_TND4EL3	Jan. sp. TND4EL3
Lysinibacillus_boronitolerans	L. boronitolerans
Tannerella_sp_oral_taxon_808	Tan. sp. oral-taxon-808
Capnocytophaga_gingivalis	C. gingivalis
Novosphingobium_sp_B1	Nov. sp. B1
Clostridium_sp_D5	Clo. sp. D5
Lactobacillus_tucceti	L. tucceti
Methylibium_sp_Root1272	Met. sp. Root1272
Pectobacterium_carotovorum	Pec. carotovorum
Ralstonia_sp_MD27	Ral. sp. MD27
Acinetobacter_variabilis	A. variabilis
Neisseria_canis	N. canis
Firmicutes_bacterium_CAG_424	Fir. bacterium CAG-424
Parvimonas_micra	P. micra
Paucibacter_aquatile	P. aquatile
Chryseobacterium_sp_VAUSW3	Chr. sp. VAUSW3
Anaerococcus_lactolyticus	A. lactolyticus
Brevundimonas_vesicularis	B. vesicularis
Friedmanniella_sagamiharensis	F. sagamiharensis
Methanobrevibacter_oralis	M. oralis
Deinococcus_actinosclerus	D. actinosclerus
Gemella_sanguinis	G. sanguinis
Mogibacterium_pumilum	Mog. pumilum
Actinomyces_neuii	A. neuii
Bifidobacterium_bifidum	Bif. bifidum
Clostridium_methylpentosum	C. methylpentosum
Clostridium_sp_CAG_167	Clo. sp. CAG-167
Brevibacterium_ravenspurgense	Bre. ravenspurgense
Prevotella_pleuritidis	P. pleuritidis
Streptococcus_sobrinus	S. sobrinus
Flavonifractor_sp_An306	Fla. sp. An306
Olsenella_scatoligenes	O. scatoligenes
Ralstonia_pickettii	R. pickettii
Lactobacillus_acetotolerans	L. acetotolerans
Orrella_dioscoreae	O. dioscoreae
Corynebacterium_genitalium	Cor. genitalium
Lawsonella_clevelandensis	L. clevelandensis
Prevotella_sp_P3_122	Pre. sp. P3-122
Neisseria_meningitidis	N. meningitidis
Pedobacter_nutrimenti	P. nutrimenti
Holdemanella_biformis	H. biformis
Citrobacter_portucalensis	C. portucalensis
Leuconostoc_suionicum	L. suionicum
Helicobacter_equorum	H. equorum
Pseudoglutamicibacter_cumminsii	P. cumminsii
Pseudomonas_putida_group	P. putida group
Bacteroides_stercoris	B. stercoris
Lactobacillus_melliventris	L. melliventris
Citrobacter_werkmanii	C. werkmanii
Tetragenococcus_halophilus	T. halophilus
Anaerococcus_octavius	A. octavius
Staphylococcus_pettenkoferi	S. pettenkoferi
Terrisporobacter_glycolicus	T. glycolicus
Chryseobacterium_arthrosphaerae	Chr. arthrosphaerae
Parabacteroides_sp_426_9	Par. sp. 426-9
Bacteroides_sp_OM05_12	Bac. sp. OM05-12
Sarcina_sp_DSM_11001	Sar. sp. DSM-11001
Tetrasphaera_elongata	T. elongata
Coprobacter_sp	C. sp
Cutibacterium_acnes	Cut. acnes
Sphingomonas_adhaesiva	S. adhaesiva
Enterococcus_asini	E. asini
Mycobacteroides_immunogenum	M. immunogenum
Clostridium_combesii	C. combesii
Clostridium_sp_L74	Clo. sp. L74
Veillonella_atypica	V. atypica
Bacteroides_uniformis	B. uniformis
Sphingomonas_ginsenosidimutans	S. ginsenosidimutans
Prevotella_intermedia	P. intermedia
Corynebacterium_minutissimum	Cor. minutissimum
Megasphaera_cerevisiae	M. cerevisiae
Gordonia_terrae	G. terrae
Dermabacter_hominis	D. hominis
Clostridium_ventriculi	C. ventriculi
Weissella_soli	W. soli
Lactobacillus_gasseri	L. gasseri
Prevotella_sp_oral_taxon_473	Pre. sp. oral-taxon-473
Selenomonas_sp_F0473	Sel. sp. F0473
Adlercreutzia_equolifaciens	A. equolifaciens
Bacillus_cereus_group	B. cereus group
Methylobacterium_phyllosphaerae	Met. phyllosphaerae
Parabacteroides_johnsonii	P. johnsonii
Lactobacillus_johnsonii	L. johnsonii
Collinsella_intestinalis	C. intestinalis
Bacteroides_sp_CAG_633	Bac. sp. CAG-633
Ignavigranum_ruoffiae	I. ruoffiae
Filifactor_alocis	F. alocis
Monoglobus_pectinilyticus	M. pectinilyticus
Parascardovia_denticolens	P. denticolens
Corynebacterium_vitaeruminis	Cor. vitaeruminis
Ewingella_americana	E. americana
Methylobacterium_sp_GXS13	Met. sp. GXS13
Blautia_wexlerae	B. wexlerae
Moraxella_osloensis	M. osloensis
Alkalilimnicola_ehrlichii	A. ehrlichii
Prevotella_sp_CAG_279	Pre. sp. CAG-279
Kingella_kingae	K. kingae
Granulicatella_adiacens	G. adiacens
Streptococcus_massiliensis	S. massiliensis
Lactobacillus_xiangfangensis	L. xiangfangensis
Xanthomonadaceae_bacterium_NML91_0213	Xan. bacterium NML91-0213
Veillonella_rodentium	V. rodentium
Lactobacillus_alimentarius	L. alimentarius
Achromobacter_mucicolens	A. mucicolens
Burkholderia_cepacia	B. cepacia
Microcoleus_vaginatus	M. vaginatus
Eubacterium_sp_CAG_274	Eub. sp. CAG-274
Pseudomonas_kuykendallii	P. kuykendallii
Corynebacterium_hadale	Cor. hadale
Enterococcus_phoeniculicola	E. phoeniculicola
Dietzia_timorensis	D. timorensis
Lautropia_mirabilis	L. mirabilis
Pseudomonas_fluvialis	P. fluvialis
Oscillatoria_acuminata	O. acuminata
Blastococcus_sp_DSM_44268	Bla. sp. DSM-44268
Tropheryma_whipplei	T. whipplei
Megasphaera_micronuciformis	M. micronuciformis
Pseudomonas_panacis	P. panacis
Weissella_koreensis	W. koreensis
Pseudomonas_gingeri	P. gingeri
Lactobacillus_intestinalis	L. intestinalis
Roseburia_sp_CAG_309	Ros. sp. CAG-309
Acinetobacter_guillouiae	A. guillouiae
Actinomyces_radingae	A. radingae
Lactobacillus_nodensis	L. nodensis
Prevotella_buccae	P. buccae
Chryseobacterium_mucoviscidosis	Chr. mucoviscidosis
Mitsuokella_jalaludinii	M. jalaludinii
Streptococcus_thermophilus	S. thermophilus
Prevotella_stercorea	P. stercorea
Tetrasphaera_remsis	T. remsis
Acinetobacter_bereziniae	A. bereziniae
Lachnospira_pectinoschiza	L. pectinoschiza
Methanobacterium_sp_MB1	Met. sp. MB1
Melaminivora_sp_SC2_7	Mel. sp. SC2-7
Brochothrix_thermosphacta	B. thermosphacta
Desulfovibrio_piger	D. piger
Johnsonella_ignava	J. ignava
Lactobacillus_coleohominis	L. coleohominis
Lactobacillus_futsaii	L. futsaii
Cronobacter_turicensis	C. turicensis
Klebsiella_sp_RIT_PI_d	Kle. sp. RIT-PI-d
Achromobacter_denitrificans	A. denitrificans
Bacteroides_ovatus	B. ovatus
Ureaplasma_urealyticum	U. urealyticum
Alloprevotella_tannerae	A. tannerae
Peptoniphilus_harei	P. harei
Staphylococcus_schweitzeri	S. schweitzeri
Microbacterium_pygmaeum	Mic. pygmaeum
Enterobacter_sp_FS01	Ent. sp. FS01
Staphylococcus_argenteus	S. argenteus
Corynebacterium_frankenforstense	Cor. frankenforstense
Staphylococcus_devriesei	S. devriesei
Staphylococcus_schleiferi	S. schleiferi
Microlunatus_phosphovorus	M. phosphovorus
Moraxella_nonliquefaciens	M. nonliquefaciens
Alkaliphilus_oremlandii	A. oremlandii
Curtobacterium_sp_MR_MD2014	Cur. sp. MR-MD2014
Pseudomonas_sp_R9_37	Pse. sp. R9-37
Prevotella_sp_oral_taxon_376	Pre. sp. oral-taxon-376
Actinomyces_radicidentis	A. radicidentis
Acinetobacter_junii	A. junii
Selenomonas_sp_FOBRC6	Sel. sp. FOBRC6
Achromobacter_marplatensis	A. marplatensis
Stenotrophomonas_humi	S. humi
Haemophilus_haemolyticus	H. haemolyticus
Kytococcus_aerolatus	K. aerolatus
Gemella_asaccharolytica	G. asaccharolytica
Bacteroidales_bacterium_KA00251	Bac. bacterium KA00251
Mycolicibacterium_chlorophenolicum	Myc. chlorophenolicum
Prevotella_oralis	P. oralis
Streptococcus_salivarius	S. salivarius
Bifidobacterium_moukalabense	Bif. moukalabense
Sphingobacterium_mizutaii	Sph. mizutaii
Acetobacteraceae_bacterium_DB1506	Ace. bacterium DB1506
Firmicutes_bacterium_CAG_534	Fir. bacterium CAG-534
Megasphaera_sp_DISK_18	Meg. sp. DISK-18
Megamonas_funiformis_CAG_377	M. funiformis CAG-377
Serratia_nematodiphila	S. nematodiphila
Lactobacillus_buchneri	L. buchneri
Citrobacter_gillenii	C. gillenii
Desulfovibrio_legallii	D. legallii
Yokenella_regensburgei	Y. regensburgei
Rhizobium_naphthalenivorans	R. naphthalenivorans
Blattabacterium_punctulatus	Bla. punctulatus
Rothia_mucilaginosa	R. mucilaginosa
Vibrio_parahaemolyticus	V. parahaemolyticus
Bacillus_pseudalcaliphilus	B. pseudalcaliphilus
Subdoligranulum_variabile	S. variabile
Enterococcus_sp_9D6_DIV0238	Ent. sp. 9D6-DIV0238
Eggerthia_catenaformis	E. catenaformis
Acinetobacter_sp_WCHAc010034	Aci. sp. WCHAc010034
Anaerostipes_sp_494a	Ana. sp. 494a
Clavibacter_cf_michiganensis_LMG_26808	C. cf michiganensis-LMG-26808
Weissella_jogaejeotgali	W. jogaejeotgali
Flavobacteriaceae_bacterium_JJC	Fla. bacterium JJC
Prevotella_sp_CAG_873	Pre. sp. CAG-873
Blautia_hydrogenotrophica	B. hydrogenotrophica
Siccibacter_turicensis	S. turicensis
Deinococcus_wulumuqiensis	D. wulumuqiensis
Pantoea_anthophila	P. anthophila
Comamonas_kerstersii	C. kerstersii
Corynebacterium_glutamicum	Cor. glutamicum
Ruminococcus_sp_CAG_330	Rum. sp. CAG-330
Kosakonia_cowanii	K. cowanii
Synechococcus_sp_JA_2_3B_a_2_13	Syn. sp. JA-2-3B-a-2-13
Prauserella_sp_Am3	Pra. sp. Am3
Lelliottia_jeotgali	L. jeotgali
Clostridium_aldenense	C. aldenense
Actinotignum_schaalii	A. schaalii
Pseudomonas_zeshuii	P. zeshuii
Achromobacter_insolitus	A. insolitus
Citricoccus_muralis	C. muralis
Lactobacillus_frumenti	L. frumenti
Rickettsia_felis	R. felis
Flavonifractor_sp_An82	Fla. sp. An82
Pedobacter_himalayensis	P. himalayensis
Xanthomonas_oryzae	X. oryzae
Oribacterium_parvum	Ori. parvum
Eubacterium_sp_An11	Eub. sp. An11
Lachnoclostridium_phytofermentans	L. phytofermentans
Haematobacter_massiliensis	H. massiliensis
Chryseobacterium_takakiae	Chr. takakiae
Brachybacterium_alimentarium	Bra. alimentarium
Edwardsiella_tarda	E. tarda
Mogibacterium_diversum	Mog. diversum
Prevotella_buccalis	P. buccalis
Turicimonas_muris	T. muris
Bacteroides_sp_CAG_598	Bac. sp. CAG-598
Pseudomonas_chengduensis	P. chengduensis
Trueperella_bernardiae	T. bernardiae
Rickettsia_asembonensis	R. asembonensis
Citrobacter_pasteurii	C. pasteurii
Finegoldia_magna	F. magna
Dorea_sp_CAG_317	Dor. sp. CAG-317
Lysinibacillus_fusiformis	L. fusiformis
Corynebacterium_xerosis	Cor. xerosis
Romboutsia_lituseburensis	R. lituseburensis
