Vagococcus_lutrae	V. lutrae
Leptotrichia_sp_oral_taxon_212	Lep. sp. oral-taxon-212
Williamsia_sp_1138	Wil. sp. 1138
Yersinia_frederiksenii	Y. frederiksenii
Prevotella_corporis	P. corporis
Pseudomonas_sp_57B_090624	Pse. sp. 57B-090624
Methylobacterium_aquaticum	Met. aquaticum
Brachybacterium_nesterenkovii	Bra. nesterenkovii
Chryseobacterium_scophthalmum	Chr. scophthalmum
Leptospira_sp_E8	Lep. sp. E8
Ochrobactrum_intermedium	O. intermedium
Prevotella_sp_CAG_755	Pre. sp. CAG-755
Anaerobacillus_macyae	A. macyae
Paracoccus_versutus	P. versutus
Pasteurella_canis	P. canis
Chitinophagaceae_bacterium_IBVUCB2	Chi. bacterium IBVUCB2
Clostridium_sp_CAG_632	Clo. sp. CAG-632
Corynebacterium_glucuronolyticum	Cor. glucuronolyticum
Deinococcus_reticulitermitis	D. reticulitermitis
Peptoniphilus_sp_DNF00840	Pep. sp. DNF00840
Haemophilus_haemoglobinophilus	H. haemoglobinophilus
Mycolicibacterium_bacteremicum	Myc. bacteremicum
Megamonas_hypermegale	M. hypermegale
Leucobacter_sp_7_1	Leu. sp. 7-1
Methanobrevibacter_smithii	M. smithii
Rothia_aeria	R. aeria
Bradyrhizobium_sp_DOA9	Bra. sp. DOA9
Anaerotruncus_colihominis	A. colihominis
Sphingomonas_sp_OV641	Sph. sp. OV641
Helcococcus_kunzii	H. kunzii
Mycobacterium_timonense	Myc. timonense
Nakamurella_silvestris	N. silvestris
Bacillaceae_bacterium_EAG3	Bac. bacterium EAG3
Peptoniphilus_duerdenii	P. duerdenii
Desulfovibrionaceae_bacterium	Des. bacterium
Stenotrophomonas_koreensis	S. koreensis
Pseudoflavonifractor_sp_An184	Pse. sp. An184
Fusobacterium_necrogenes	Fus. necrogenes
Kosakonia_oryzae	K. oryzae
Corynebacterium_auriscanis	Cor. auriscanis
Proteus_penneri	P. penneri
Arthrobacter_sp_Leaf234	Art. sp. Leaf234
Haemophilus_influenzae	H. influenzae
Raoultella_ornithinolytica	R. ornithinolytica
Paenibacillus_macerans	P. macerans
Arthrobacter_sp_EPSL27	Art. sp. EPSL27
Clostridium_saccharolyticum	C. saccharolyticum
Christensenella_minuta	C. minuta
Prevotella_copri	P. copri
Eubacterium_yurii	Eub. yurii
Lachnospiraceae_bacterium_oral_taxon_096	Lac. bacterium oral-taxon-096
Clostridium_neonatale	C. neonatale
Lactobacillus_pantheris	L. pantheris
Roseiflexus_sp_RS_1	Ros. sp. RS-1
Selenomonas_flueggei	S. flueggei
Sphingopyxis_sp_H050	Sph. sp. H050
Lactococcus_plantarum	L. plantarum
Dialister_succinatiphilus	D. succinatiphilus
Psychrobacter_sp_Cmf_22_2	Psy. sp. Cmf-22-2
Pseudomonas_sp_NS1_2017	Pse. sp. NS1-2017
Parvimonas_sp_oral_taxon_393	Par. sp. oral-taxon-393
Coprococcus_catus	C. catus
Odoribacter_laneus	O. laneus
Coprococcus_comes	C. comes
Bacillus_clausii	B. clausii
Alistipes_sp_CAG_831	Ali. sp. CAG-831
Faecalitalea_cylindroides	F. cylindroides
Varibaculum_cambriense	V. cambriense
Corynebacterium_provencense	Cor. provencense
Ruminococcus_obeum_CAG_39	R. obeum CAG-39
Caulobacter_vibrioides	C. vibrioides
Fusobacterium_nucleatum	Fus. nucleatum
Acholeplasma_oculi	A. oculi
Burkholderiales_bacterium_RIFCSPHIGHO2_01_FULL_63_240	Bur. bacterium RIFCSPHIGHO2-01-FULL-63-240
Eubacterium_callanderi	Eub. callanderi
Stenotrophomonas_pavanii	S. pavanii
Brevundimonas_diminuta	B. diminuta
Bacillus_murimartini	B. murimartini
Caulobacter_radicis	C. radicis
Pediococcus_stilesii	P. stilesii
Flavonifractor_sp_An10	Fla. sp. An10
Brevibacillus_parabrevis	B. parabrevis
Bacteroides_eggerthii	B. eggerthii
Peptostreptococcus_stomatis	P. stomatis
Lysinibacillus_sp_B2A1	Lys. sp. B2A1
Azospirillum_lipoferum	A. lipoferum
Faecalicoccus_pleomorphus	F. pleomorphus
Eubacterium_ramulus	Eub. ramulus
Dialister_micraerophilus	D. micraerophilus
Kosakonia_sacchari	K. sacchari
Aureimonas_altamirensis	A. altamirensis
Enterococcus_cecorum	E. cecorum
Desulfobulbus_oralis	D. oralis
Capnocytophaga_cynodegmi	C. cynodegmi
Ruminococcus_sp_CAG_624	Rum. sp. CAG-624
Micrococcus_terreus	M. terreus
Kytococcus_sedentarius	K. sedentarius
Alistipes_onderdonkii	A. onderdonkii
Stenotrophomonas_sp_BIIR7	Ste. sp. BIIR7
Staphylococcus_kloosii	S. kloosii
Obesumbacterium_proteus	Obe. proteus
Vibrio_kanaloae	V. kanaloae
Raoultella_sp_T31	Rao. sp. T31
Treponema_putidum	T. putidum
Acidovorax_temperans	A. temperans
Lactobacillus_nagelii	L. nagelii
Microbacterium_oxydans	Mic. oxydans
Pseudomonas_fluorescens_group	P. fluorescens group
Bacteroides_massiliensis	B. massiliensis
Alloprevotella_rava	A. rava
Lactobacillus_pontis	L. pontis
Pseudomonas_sp_21	Pse. sp. 21
Brevibacterium_paucivorans	Bre. paucivorans
Firmicutes_bacterium_CAG_95	Fir. bacterium CAG-95
Leuconostoc_pseudomesenteroides	L. pseudomesenteroides
Porphyromonas_canoris	P. canoris
Pedobacter_sp_AJM	Ped. sp. AJM
Lactobacillus_fermentum	L. fermentum
Brevundimonas_nasdae	B. nasdae
Bifidobacterium_bohemicum	Bif. bohemicum
Lactobacillus_rhamnosus	L. rhamnosus
Rhodococcus_qingshengii	R. qingshengii
Streptococcus_uberis	S. uberis
Alistipes_sp_CHKCI003	Ali. sp. CHKCI003
Proteus_hauseri	P. hauseri
Lactobacillus_sanfranciscensis	L. sanfranciscensis
Selenomonas_sp_oral_taxon_138	Sel. sp. oral-taxon-138
Paenibacillus_thiaminolyticus	P. thiaminolyticus
Lactobacillus_crustorum	L. crustorum
Tessaracoccus_flavescens	T. flavescens
Geodermatophilus_obscurus	G. obscurus
Pantoea_conspicua	P. conspicua
Aerococcus_sanguinicola	A. sanguinicola
Selenomonas_sp_oral_taxon_892	Sel. sp. oral-taxon-892
Rhodanobacter_sp_TND4EH1	Rho. sp. TND4EH1
Corynebacterium_sp_CNJ_954	Cor. sp. CNJ-954
Prevotella_multisaccharivorax	P. multisaccharivorax
Bifidobacterium_kashiwanohense	Bif. kashiwanohense
Clostridium_sp_CAG_253	Clo. sp. CAG-253
Frigoribacterium_sp_Leaf186	Fri. sp. Leaf186
Neisseria_flavescens	N. flavescens
Lachnospiraceae_bacterium_2_1_46FAA	Lac. bacterium 2-1-46FAA
Porphyromonas_gingivicanis	P. gingivicanis
Leptotrichia_sp_oral_taxon_498	Lep. sp. oral-taxon-498
Streptomyces_sp_PT12	Str. sp. PT12
Pseudomonas_psychrotolerans	P. psychrotolerans
Lactobacillus_murinus	L. murinus
Corynebacterium_accolens	Cor. accolens
Porphyromonas_catoniae	P. catoniae
Williamsia_sp_Leaf354	Wil. sp. Leaf354
Serratia_rubidaea	S. rubidaea
Thermus_scotoductus	T. scotoductus
Klebsiella_variicola	K. variicola
Porphyromonas_gulae	P. gulae
Mycobacterium_lepraemurium	Myc. lepraemurium
Clostridioides_difficile	C. difficile
Clostridium_paraputrificum	C. paraputrificum
Oribacterium_sp_oral_taxon_078	Ori. sp. oral-taxon-078
Streptococcus_infantarius	S. infantarius
Prevotella_multiformis	P. multiformis
Nocardia_farcinica	N. farcinica
Lachnoclostridium_sp_An181	Lac. sp. An181
Lactobacillus_senioris	L. senioris
Globicatella_sanguinis	Globicatella_sanguinis
Yersinia_enterocolitica	Y. enterocolitica
Raoultella_planticola	R. planticola
Sphingomonas_sp_PP_CE_3G_477	Sph. sp. PP-CE-3G-477
Lactobacillus_otakiensis	L. otakiensis
Bifidobacterium_choerinum	Bif. choerinum
Janthinobacterium_sp_S3_2	Jan. sp. S3-2
Lactobacillus_acidipiscis	L. acidipiscis
Blautia_producta	B. producta
Achromobacter_arsenitoxydans	A. arsenitoxydans
Coprococcus_eutactus	C. eutactus
Treponema_maltophilum	T. maltophilum
Eubacterium_minutum	Eub. minutum
Actinobaculum_massiliense	A. massiliense
Campylobacter_hyointestinalis	C. hyointestinalis
Parabacteroides_chinchillae	P. chinchillae
Methyloceanibacter_marginalis	M. marginalis
Haemophilus_sp_C1	Hae. sp. C1
Ensifer_adhaerens	E. adhaerens
Franconibacter_helveticus	F. helveticus
Clostridium_baratii	C. baratii
Methanosphaera_cuniculi	M. cuniculi
Sphingobacterium_multivorum	Sph. multivorum
Bacteroides_salyersiae	B. salyersiae
Methanobacterium_formicicum	Met. formicicum
Lactobacillus_hordei	L. hordei
Parabacteroides_merdae	P. merdae
Fusobacterium_necrophorum	Fus. necrophorum
Acinetobacter_towneri	A. towneri
Weissella_viridescens	W. viridescens
Bacillus_horneckiae	B. horneckiae
Corynebacterium_kroppenstedtii	Cor. kroppenstedtii
Lachnoclostridium_sp_An169	Lac. sp. An169
Enterococcus_gallinarum	E. gallinarum
Rhodococcus_gordoniae	R. gordoniae
Micrococcus_lylae	M. lylae
Actinomyces_europaeus	A. europaeus
Bacteroides_sp_An322	Bac. sp. An322
Leuconostoc_gelidum	L. gelidum
Escherichia_coli	E. coli
Sphingopyxis_granuli	S. granuli
Sphingopyxis_sp_LC363	Sph. sp. LC363
Romboutsia_ilealis	R. ilealis
Xanthomonas_arboricola	X. arboricola
Bacteroides_xylanolyticus	B. xylanolyticus
Mycolicibacterium_monacense	Myc. monacense
Ralstonia_mannitolilytica	R. mannitolilytica
Prevotella_baroniae	P. baroniae
Providencia_stuartii	P. stuartii
Muribaculum_intestinale	M. intestinale
Acinetobacter_bohemicus	A. bohemicus
Pedobacter_sp_Leaf41	Ped. sp. Leaf41
Salmonella_enterica	S. enterica
Psychrobacter_fozii	P. fozii
Parabacteroides_goldsteinii	P. goldsteinii
Synergistes_jonesii	S. jonesii
Candidatus_Pelagibacter_ubique	C. Pelagibacter ubique
Enterococcus_hirae	E. hirae
Lysobacter_enzymogenes	L. enzymogenes
Citrobacter_europaeus	C. europaeus
Corynebacterium_callunae	Cor. callunae
Prevotella_sp_CAG_1058	Pre. sp. CAG-1058
Lactobacillus_parabuchneri	L. parabuchneri
Microcoleus_sp_PCC_7113	Mic. sp. PCC-7113
Prevotella_oris	P. oris
Corynebacterium_diphtheriae	Cor. diphtheriae
Moraxella_lacunata	M. lacunata
Luteimonas_sp_83_4	Lut. sp. 83-4
Bacteroidetes_oral_taxon_274	B. oral taxon-274
Leifsonia_sp_Root112D2	Lei. sp. Root112D2
Alistipes_sp_An31A	Ali. sp. An31A
Enterococcus_mundtii	E. mundtii
Peptostreptococcus_anaerobius	P. anaerobius
Streptococcus_sinensis	S. sinensis
Eubacteriaceae_bacterium_CHKCI005	Eub. bacterium CHKCI005
Peptoniphilus_sp_BV3C26	Pep. sp. BV3C26
Clostridium_spiroforme	C. spiroforme
Buttiauxella_agrestis	B. agrestis
Pseudonocardia_ammonioxydans	P. ammonioxydans
Porphyromonas_somerae	P. somerae
Staphylococcus_piscifermentans	S. piscifermentans
Escherichia_sp_ESNIH1	Esc. sp. ESNIH1
Bacillus_sp_FJAT_18017	Bac. sp. FJAT-18017
Capnocytophaga_haemolytica	C. haemolytica
Lactobacillus_homohiochii	L. homohiochii
Aerococcus_viridans	A. viridans
Eubacterium_siraeum	Eub. siraeum
Sphingobacterium_spiritivorum	Sph. spiritivorum
Lactobacillus_panis	L. panis
Clostridium_butyricum	C. butyricum
Acinetobacter_indicus	A. indicus
Nocardioides_currus	N. currus
Peptoniphilus_lacrimalis	P. lacrimalis
Paenibacillus_lautus	P. lautus
Campylobacter_ureolyticus	C. ureolyticus
Clostridium_sp_SY8519	Clo. sp. SY8519
Advenella_kashmirensis	A. kashmirensis
Microlunatus_soli	M. soli
Alistipes_inops	A. inops
Campylobacter_showae	C. showae
Helicobacter_acinonychis	H. acinonychis
Wohlfahrtiimonas_sp_G9077	Woh. sp. G9077
Rahnella_aquatilis	R. aquatilis
Parabacteroides_gordonii	P. gordonii
Flavonifractor_plautii	F. plautii
Citrobacter_sp_MGH106	Cit. sp. MGH106
Ottowia_oryzae	O. oryzae
Paraprevotella_clara	P. clara
Staphylococcus_gallinarum	S. gallinarum
Eisenbergiella_tayi	E. tayi
Haemophilus_quentini	H. quentini
Anaerofilum_sp_An201	Ana. sp. An201
Corynebacterium_ureicelerivorans	Cor. ureicelerivorans
Fusicatenibacter_saccharivorans	F. saccharivorans
Prevotella_jejuni	P. jejuni
Providencia_alcalifaciens	P. alcalifaciens
Rickettsia_hoogstraalii	R. hoogstraalii
Corynebacterium_lowii	Cor. lowii
Pseudomonas_moraviensis	P. moraviensis
Dietzia_maris	D. maris
Pseudomonas_flexibilis	P. flexibilis
Ruminococcus_bromii	R. bromii
Paracoccus_sediminis	P. sediminis
Frigoribacterium_sp_Leaf164	Fri. sp. Leaf164
Escherichia_marmotae	E. marmotae
Acinetobacter_johnsonii	A. johnsonii
Oxalobacter_formigenes	O. formigenes
Cronobacter_sakazakii	C. sakazakii
Acinetobacter_celticus	A. celticus
Bacteroides_caecimuris	B. caecimuris
Caulobacter_flavus	C. flavus
Janibacter_hoylei	J. hoylei
Paraprevotella_xylaniphila	P. xylaniphila
Selenomonas_artemidis	S. artemidis
Xanthomonadaceae_bacterium_NML07_0707	Xan. bacterium NML07-0707
Kouleothrix_aurantiaca	K. aurantiaca
Arthrobacter_alpinus	A. alpinus
Xanthomonas_translucens	X. translucens
Elizabethkingia_meningoseptica	E. meningoseptica
Mycolicibacterium_novocastrense	Myc. novocastrense
Lachnoclostridium_sp_An138	Lac. sp. An138
Helicobacter_canis	H. canis
Marvinbryantia_formatexigens	M. formatexigens
Limnochorda_pilosa	L. pilosa
Staphylococcus_xylosus	S. xylosus
Phascolarctobacterium_sp_CAG_266	Pha. sp. CAG-266
Weissella_minor	W. minor
Vagococcus_martis	V. martis
Desulfovibrio_vulgaris	D. vulgaris
Selenomonas_sp_oral_taxon_126	Sel. sp. oral-taxon-126
Staphylococcus_epidermidis	S. epidermidis
Corynebacterium_afermentans	Cor. afermentans
Enterococcus_gilvus	E. gilvus
Bacillus_sp_7504_2	Bac. sp. 7504-2
Enterococcus_sulfureus	E. sulfureus
Mycolicibacter_heraklionensis	M. heraklionensis
Bacillus_pumilus	B. pumilus
Photobacterium_phosphoreum	Pho. phosphoreum
Facklamia_languida	F. languida
Clostridium_hylemonae	C. hylemonae
Burkholderia_contaminans	B. contaminans
Bifidobacterium_adolescentis	Bif. adolescentis
Janibacter_sp_Soil728	Jan. sp. Soil728
Rothia_sp	R. sp
Shewanella_xiamenensis	S. xiamenensis
Anaerotruncus_sp_CAG_528	Ana. sp. CAG-528
Acinetobacter_ursingii	A. ursingii
Ottowia_sp_oral_taxon_894	Ott. sp. oral-taxon-894
Leptotrichia_sp_oral_taxon_215	Lep. sp. oral-taxon-215
Dorea_formicigenerans	D. formicigenerans
Sphingomonas_hankookensis	S. hankookensis
Prevotella_sp_885	Pre. sp. 885
Neisseria_sp_oral_taxon_014	Nei. sp. oral-taxon-014
Mycobacterium_grossiae	Myc. grossiae
Sanguibacteroides_justesenii	S. justesenii
Mycobacterium_gordonae	Myc. gordonae
Alkalibacterium_thalassium	Alk. thalassium
